DateTime,AddedIPs,RemovedIPs
1528631112,0,1
1528635613,0,1
1528711212,1,0
1528717516,1,0
1528721112,1,1
1528832705,0,3
1528861512,0,1
1528886715,1,0
1528905616,1,0
1528911015,2,0
1528919112,1,0
1528923605,0,1
1528928105,0,1
1528944315,1,0
1528957811,1,0
1528959615,0,1
1528963212,1,0
1528973116,0,1
1528976716,0,1
1528981212,0,1
1528982112,0,1
1528983915,0,2
1529001915,0,1
1529028015,1,0
1529042417,0,1
1529049614,0,1
1529055016,1,0
1529066715,0,1
1529068517,2,0
1529085615,0,1
1529086516,0,1
1529095516,0,1
1529097311,0,1
1529132406,0,1
1529136915,0,1
1529154015,0,1
1529161217,0,1
1529177415,1,0
1529182816,0,1
1529235915,0,1
1529261104,0,1
1529301616,0,1
1529328616,1,0
1529330417,1,0
1529343906,0,1
1529373616,0,2
1529381717,0,1
1529387117,1,0
1529411416,0,1
1529427606,0,1
1529433006,1,0
1529457317,0,1
1529477115,1,0
1529495116,0,1
1529496017,2,0
1529517613,0,1
1529534716,0,2
1529541918,1,0
1529547314,1,0
1529556318,1,0
1529559018,1,0
1529563517,0,1
1529576117,1,0
1529580615,1,0
1529608516,0,1
1529618407,0,1
1529633717,0,1
1529640917,0,2
1529704805,0,1
1529714718,0,1
1529720119,1,0
1529721919,0,1
1529722817,0,1
1529735417,1,0
1529739918,0,1
1529744418,1,0
1529750718,0,1
1529772319,0,1
1529790318,0,1
1529794817,0,1
1529838018,0,1
1529866816,0,1
1529875813,0,1
1529881213,0,1
1529908216,1,0
1529916319,0,1
1529927117,1,0
1529929817,1,0
1529931618,1,0
1529941518,0,1
1529945116,1,0
1529952318,1,0
1529969417,1,0
1529981114,0,2
1530016217,0,1
1530023415,1,0
1530025218,1,0
1530027916,1,0
1530031518,2,1
1530039618,2,0
1530040518,0,1
1530041417,1,0
1530042319,1,0
1530044119,1,0
1530071117,1,0
1530076517,0,1
1530080117,1,0
1530084616,1,0
1530087316,1,0
1530095413,1,0
1530135017,1,0
1530144917,1,0
1530171017,1,0
1530171918,1,0
1530179118,1,0
1530261017,1,0
1530269118,1,0
1530270919,1,0
1530276318,0,1
1530327617,1,0
1530345617,0,1
1530355504,0,1
1530376205,0,2
1530420305,0,1
1530427505,0,1
1530439205,0,1
1530476105,0,1
1530518415,0,1
1530530116,1,0
1530550816,1,0
1530604816,2,0
1530619215,1,0
1530626415,1,0
1530627314,0,1
1530629115,0,1
1530637216,0,3
1530639015,1,0
1530659710,0,1
1530669615,1,0
1530677716,0,1
1530685815,0,1
1530688516,1,0
1530693015,1,0
1530697516,1,0
1530701115,1,0
1530702915,1,0
1530717315,1,0
1530723614,0,1
1530726315,1,0
1530752415,1,0
1530757815,1,0
1530767715,1,0
1530774915,1,0
1530776715,1,0
1530780315,0,1
1530790216,1,0
1530798317,1,1
1530800114,0,1
1530858615,1,0
1530862214,2,0
1530869415,1,0
1530875705,0,1
1530925213,1,0
1530949514,0,1
1530972014,1,0
1530991813,0,1
1531043115,1,0
1531047614,0,1
1531146615,1,0
1531162814,1,0
1531177215,1,0
1531200613,2,0
1531206015,2,0
1531208714,1,0
1531210514,1,0
1531211415,1,0
1531212314,1,0
1531298714,2,0
1531309507,0,1
1531314010,0,1
1531355412,1,0
1531378815,1,0
1531380614,1,0
1531384214,2,0
1531390515,2,0
1531395014,1,0
1531403115,1,0
1531406715,1,0
1531409414,1,0
1531411214,1,0
1531457115,1,0
1531464314,0,1
1531467914,0,1
1531478715,0,1
1531486814,1,1
1531493115,0,1
1531495814,0,1
1531497614,0,1
1531512015,0,1
1531533614,0,1
1531536315,0,1
1531556114,0,1
1531557915,1,0
1531572304,1,0
1531575902,4,0
1531620003,0,1
1531647903,0,1
1531683902,0,1
1531692903,1,0
1531709103,0,1
1531746003,1,0
1531746903,1,0
1531769403,0,1
1531771204,0,1
1531812603,1,0
1531862102,1,0
1531896308,1,0
1531905305,0,1
1531910712,0,1
1531921535,0,1
1531922403,0,1
1531956696,1,0
1531978202,1,0
1531979108,0,1
1531980903,1,0
1531982703,0,1
1531995302,1,0
1532000703,1,0
1532007003,1,0
1532024103,0,1
1532045702,0,1
1532053803,1,0
1532054703,1,0
1532063702,1,0
1532067303,0,1
1532069103,0,1
1532072703,0,1
1532081702,1,0
1532087102,1,0
1532099703,0,1
1532123103,1,0
1532133903,0,2
1532139302,0,1
1532151003,1,1
1532168102,0,2
1532239203,1,0
1532267103,0,1
1532272503,0,1
1532311203,0,1
1532328302,0,1
1532330103,1,0
1532333703,0,1
1532365203,0,1
1532405701,1,0
1532439903,1,0
1532497503,1,0
1532510102,0,1
1532519103,0,1
1532521803,0,1
1532524503,1,1
1532544302,0,1
1532560503,0,1
